N_Client;Nom;adresse;ville
11000;Jon Yang;3761 N. 14th St;Sydney
11001;Eugene Huang;2243 W St.;Sydney
11002;Ruben Torres;5844 Linden Land;Berlin
11003;Christy Zhu;1825 Village Pl.;Toronto
11004;Elizabeth Johnson;7553 Harness Circle;Colon
11005;Julio Ruiz;7305 Humphrey Drive;Berlin
11006;Janet Alvarez;2612 Berry Dr;Vancouver
11007;Marco Mehta;942 Brook Street;Vancouver
11008;Rob Verhoff;624 Peabody Road;"Ottawa "
11009;Shannon Carlson;3839 Northgate Road;"Birmingham "
11010;Jacquelyn Suarez;7800 Corrinne Court;Bourdeaux
11011;Curtis Lu;1224 Shoenic;Munich
11012;Lauren Walker;4785 Scott Street;"Glasgow "
11013;Ian Jenkins;7902 Hudson Ave.;Lyon
11014;Sydney Bennett;9011 Tank Drive;"Miami "
11015;Chloe Young;244 Willow Pass Road;Bourdeaux
11016;Wyatt Hill;9666 Northridge Ct.;Melbourne
11017;Shannon Wang;7330 Saddlehill Lane;Munich
11018;Clarence Rai;244 Rivewview;New York
11019;Luke Lal;7832 Landing Dr;Dusoldof
11020;Jordan King;7156 Rose Dr.;London
11021;Destiny Wilson;8148 W. Lake Dr.;"Montréal "
11022;Ethan Zhang;1769 Nicholas Drive;Toronto
11023;Seth Edwards;4499 Valley Crest;Munich
11024;Russell Xie;8734 Oxford Place;Marseille
11025;Alejandro Beck;2596 Franklin Canyon Road;"Houston "
11026;Harold Sai;8211 Leeds Ct.;Marseille
11027;Jessie Zhao;213 Valencia Place;"Glasgow "
11028;Jill Jimenez;9111 Rose Ann Ave;London
11029;Jimmy Moreno;6385 Mark Twain;Los Angeles
11030;Bethany Yuan;636 Vine Hill Way;"Glasgow "
11031;Theresa Ramos;6465 Detroit Ave.;"Glasgow "
11032;Denise Stone;626 Bentley Street;Sydney
11033;Jaime Nath;5927 Rainbow Dr;"Montréal "
11034;Ebony Gonzalez;5167 Condor Place;"Birmingham "
11035;Wendy Dominguez;1873 Mt. Whitney Dr;Sydney
11036;Jennifer Russell;3981 Augustine Drive;Marseille
11037;Chloe Garcia;8915 Woodside Way;Paris
11038;Diana Hernandez;8357 Sandy Cove Lane;Vancouver
11039;Marc Martin;9353 Creekside Dr.;"Birmingham "
11040;Jesse Murphy;3350 Kingswood Circle;Melbourne
